abhogi,काफी,night-2,औढव,औढव वक्र,मध्यम,षड्ज,abhogi.txt
adana,आसावरी,night-2,षाढव,सम्पूर्ण वक्र,षड्ज,पंचम,adana.txt
aheer-bhairav,भैरव,day-1,सम्पूर्ण,सम्पूर्ण,मध्यम,षड्ज,aheer-bhairav.txt
alhaiya,बिलावल,day-1,षाढव,सम्पूर्ण,धैवत,गंधार,alhaiya.txt
asawari,आसावरी,day-2,षाढव,सम्पूर्ण,धैवत,गंधार,asawari.txt
bageshree,काफी,night-2,षाढव,सम्पूर्ण वक्र,मध्यम,षड्ज,bageshree.txt
bahaar,काफी,night-2,औढव,षाढव वक्र,मध्यम,षड्ज,bahaar.txt
bairagi,भैरव,day-1,औढव,औढव,मध्यम,षड्ज,bairagi.txt
bairagi-todi,भैरवी,day-1,औढव,औढव,,,bairagi-todi.txt
basant,पूर्वी,night-2,औढव,सम्पूर्ण वक्र,तार षड्ज,पंचम,basant.txt
basant-mukhari,भैरव,day-2,सम्पूर्ण,सम्पूर्ण,रिषभ,धैवत,basant-mukhari.txt
bhairav,भैरव,day-1,सम्पूर्ण,सम्पूर्ण,धैवत,रिषभ,bhairav.txt
bhairavi,भैरवी,day-1,सम्पूर्ण,सम्पूर्ण,मध्यम,षड्ज,bhairavi.txt
bhatiyar,मारवा,night-4,सम्पूर्ण,सम्पूर्ण वक्र,शुद्ध मध्यम,षड्ज,bhatiyar.txt
bheem,काफी,day-3,औढव,सम्पूर्ण वक्र,षड्ज,पंचम,bheem.txt
bheempalasi,काफी,day-3,औढव,सम्पूर्ण,मध्यम,षड्ज,bheempalasi.txt
bhoopali,कल्याण,night-1,औढव,औढव,गंधार,धैवत,bhoopali.txt
bhupal-todi,भैरवी,day-1,औढव,औढव,धैवत,गंधार,bhupal-todi.txt
bihag,कल्याण,night-2,औढव,सम्पूर्ण वक्र,गंधार,निषाद,bihag.txt
bilaskhani-todi,भैरवी,day-2,औढव,सम्पूर्ण वक्र,धैवत,गंधार,bilaskhani-todi.txt
chandra-kauns,किसी भी थाट के अंतर्गत नहीं,night-2,औढव,औढव,मध्यम,षड्ज,chandra-kauns.txt
charukeshi,किसी भी थाट के अंतर्गत नहीं,day-2,सम्पूर्ण,सम्पूर्ण,षड्ज,मध्यम,charukeshi.txt
chhayanut,कल्याण,night-2,सम्पूर्ण,सम्पूर्ण वक्र,पंचम,रिषभ,chhayanut.txt
darbari,आसावरी,night-3,सम्पूर्ण,सम्पूर्ण वक्र,रिषभ,पंचम,darbari.txt
des,खमाज,night-2,औढव,सम्पूर्ण वक्र,रिषभ,पंचम,des.txt
deshkar,बिलावल,day-2,औढव,औढव वक्र,धैवत,गंधार,deshkar.txt
desi,काफी,day-1,औढव,षाढव वक्र,पंचम,षड्ज,desi.txt
dev-gandhar,आसावरी,day-2,सम्पूर्ण,सम्पूर्ण वक्र,धैवत,गंधार,dev-gandhar.txt
devgiri-bilawal,बिलावल,day-1,षाढव,सम्पूर्ण वक्र,षड्ज,पंचम,devgiri-bilawal.txt
devshree,अज्ञात,night-2,औढव,औढव,,,devshree.txt
durga,बिलावल,night-2,औढव,औढव,मध्यम,षड्ज,durga.txt
gaud-malhar,बिलावल,वर्षा ऋतु में night-2,सम्पूर्ण,सम्पूर्ण वक्र,मध्यम,षड्ज,gaud-malhar.txt
gaud-sarang,कल्याण,day-3,सम्पूर्ण,सम्पूर्ण वक्र,गंधार,धैवत,gaud-sarang.txt
gauri,भैरव,day-4,सम्पूर्ण,सम्पूर्ण वक्र,रिषभ,पंचम,gauri.txt
gopika-basant,आसावरी,day-1,षाढव,षाढव वक्र,षड्ज,पंचम,gopika-basant.txt
gorakh-kalyan,खमाज,night-2,सुरतर,औढव,मध्यम,षड्ज,gorakh-kalyan.txt
gunkali,भैरव,day-1,औढव,औढव,धैवत,रिषभ,gunkali.txt
gurjari-todi,तोड़ी,day-2,षाढव,षाढव,धैवत,रिषभ,gurjari-todi.txt
hameer,कल्याण,night-2,औढव,सम्पूर्ण वक्र,धैवत,गंधार,hameer.txt
hans-dhwani,बिलावल,night-2,औढव,औढव,षड्ज,पंचम,hans-dhwani.txt
hans-kinkini,काफी,day-3,औढव,सम्पूर्ण वक्र,पंचम,षड्ज,hans-kinkini.txt
hari-kauns,अज्ञात,night-2,औढव,औढव,,,hari-kauns.txt
hemant,बिलावल,night-2,औढव,संपूर्ण,,,hemant.txt
hemshri,अज्ञात,night-2,औढव,औढव,,,hemshri.txt
hindol,कल्याण,night-3,औढव,औढव वक्र,धैवत,गंधार,hindol.txt
jaijaivanti,काफी,night-2,औढव,सम्पूर्ण वक्र,रिषभ,पंचम,jaijaivanti.txt
jaldhar-kedar,बिलावल,night-2,औढव,औढव,मध्यम,षड्ज,jaldhar-kedar.txt
jaunpuri,आसावरी,day-2,षाढव,संपूर्ण,धैवत,गंधार,jaunpuri.txt
jhinjhoti,खमाज,night-2,षाढव,सम्पूर्ण वक्र,गंधार,निषाद,jhinjhoti.txt
jog,काफी,night-2,औढव,औढव,मध्यम,षड्ज,jog.txt
jogeshwari,काफी,night-2,औढव,औढव,मध्यम,षड्ज,jogeshwari.txt
pancham,काफी,night-2,औढव,षाढव,मध्यम,षड्ज,pancham.txt
jogiya,भैरव,night-4,औढव,षाढव,मध्यम,षड्ज,jogiya.txt
jogkauns,किसी भी थाट के अंतर्गत नहीं,night-3,षाढव,षाढव वक्र,मध्यम,षड्ज,jogkauns.txt
kafi,काफी,night-2,सम्पूर्ण,सम्पूर्ण,पंचम,षड्ज,kafi.txt
kalawati,खमाज,mid-night,औढव,औढव,पंचम,षड्ज,kalawati.txt
kamod,कल्याण,night-1,सम्पूर्ण,सम्पूर्ण वक्र,पंचम,रिषभ,kamod.txt
kaushik-dhwani,बिलावल,night-2,औढव,औढव,मध्यम,षड्ज,kaushik-dhwani.txt
kausi-kanada,आसावरी,night-3,षाढव,सम्पूर्ण वक्र,मध्यम,षड्ज,kausi-kanada.txt
kedar,कल्याण,night-1,औढव,सम्पूर्ण वक्र,मध्यम,षड्ज,kedar.txt
keerwani,किसी भी थाट के अंतर्गत नहीं,night-2,सम्पूर्ण,सम्पूर्ण,पंचम,षड्ज,keerwani.txt
khamaj,खमाज,night-2,षाढव,सम्पूर्ण,गंधार,निषाद,khamaj.txt
khambavati,खमाज,night-2,षाढव,सम्पूर्ण वक्र,गंधार,धैवत,khambavati.txt
komal-rishabh-asawari,भैरवी,day-2,औढव,षाढव वक्र,धैवत,रिषभ,komal-rishabh-asawari.txt
lalit,पूर्वी,night-4,षाढव,षाढव वक्र,शुद्ध मध्यम,षड्ज,lalit.txt
lanka-dahan-sarang,अज्ञात,day-2,औढव,सम्पूर्ण वक्र,,,lanka-dahan-sarang.txt
madhukauns,काफी,night-2,औढव,औढव,पंचम,षड्ज,madhukauns.txt
madhumad-sarang,काफी,अपराह्,औढव,औढव,रिषभ,पंचम,madhumad-sarang.txt
madhuvanti,तोड़ी,day-4,औढव,सम्पूर्ण,पंचम,षड्ज,madhuvanti.txt
malgunji,काफी,night-3,षाढव,सम्पूर्ण वक्र,मध्यम,षड्ज,malgunji.txt
malhar,काफी,night-2,सम्पूर्ण,षाढव वक्र,पंचम,षड्ज,malhar.txt
malkauns,भैरवी,night-3,औढव,औढव,मध्यम,षड्ज,malkauns.txt
mand,बिलावल,night-2,सम्पूर्ण,सम्पूर्ण वक्र,षड्ज,पंचम,mand.txt
maroo-bihag,कल्याण,night-2,औढव,सम्पूर्ण,पंचम,षड्ज,maroo-bihag.txt
marwa,मारवा,day-4,षाढव,षाढव,रिषभ,धैवत,marwa.txt
megh,काफी,वर्षा ऋत,औढव,औढव,मध्यम,षड्ज,megh.txt
mohan-kauns,भैरवी,night-2,औढव,औढव,मध्यम,षड्ज,mohan-kauns.txt
multani,तोड़ी,day-3,औढव,सम्पूर्ण,पंचम,षड्ज,multani.txt
nand,कल्याण,night-2,षाढव,सम्पूर्ण वक्र,षड्ज,पंचम,nand.txt
narayani,खमाज,night-2,औढव,षाढव,षड्ज,पंचम,narayani.txt
nayaki-kanada,काफी,night-2,षाढव,षाढव वक्र,मध्यम,षड्ज,nayaki-kanada.txt
nut-bhairav,भैरव,day-1,सम्पूर्ण,सम्पूर्ण,मध्यम,षड्ज,nut-bhairav.txt
pahadi,बिलावल,day-2,औढव,संपूर्ण,षड्ज,पंचम,pahadi.txt
parameshwari,अज्ञात,day-2,षाढव,षाढव,,,parameshwari.txt
patdeep,काफी,day-3,औढव,सम्पूर्ण,पंचम,षड्ज,patdeep.txt
pilu,काफी,day-3,औढव,सम्पूर्ण,गंधार,निषाद,pilu.txt
puriya,मारवा,night-2,षाढव,षाढव,गंधार,निषाद,puriya.txt
puriya-dhanashri,पूर्वी,day-4,सम्पूर्ण,सम्पूर्ण वक्र,पंचम,षड्ज,puriya-dhanashri.txt
puriya-kalyan,मारवा,day-4,सम्पूर्ण,सम्पूर्ण वक्र,षड्ज,पंचम,puriya-kalyan.txt
purvi,पूर्वी,day-4,सम्पूर्ण,सम्पूर्ण वक्र,गंधार,निषाद,purvi.txt
rageshree,खमाज,night-2,औढव,षाढव,गंधार,निषाद,rageshree.txt
ramdasi-malhar,काफी,rainy season,सम्पूर्ण,सम्पूर्ण वक्र,मध्यम,षड्ज,ramdasi-malhar.txt
ramkali,भैरव,day-1,सम्पूर्ण,सम्पूर्ण,पंचम,षड्ज,ramkali.txt
vrindavani-sarang,काफी,मध्यान्,औढव,औढव,रिषभ,पंचम,vrindavani-sarang.txt
