Basic Thaat,,,Basic Thaat.html
exotic scale,,,exotic scale.html
Ek Pyar Ka Nagma Hai,Shor,,ekPyarKaNagmaHai.txt
Hothon se chulo tum,Prem Geet,Yaman,hothon_se_chulo_tum.txt
OMG Krishna Flute,OMG,,OMG Krishna Flute.txt
Krishna Flute ramand sagar,mahabharat,kamod,mahabharat krishna flute.txt
Swarangini,Sangeet Prawah World,,swarangini.txt
Titanic theme song,Titanic,Bhupali and Hansdhwani,Titanic theme song.txt
Moh Moh Ke Dhaage,Dum laga ke haisha,,Moh Moh Ke Dhaage.txt
kaun disa mein leke,nadiya ke par,,kaun-disa-mein-leke.txt
Vande Mataram,,Des,vande mataram.txt
Vaishnav jan to,bhajan,Khamaj,vaishnav jan to.txt
jan gan man,geet,bilawal,jan gan man.txt
dil ke armaan ansuon me bah gaye,nikah, asawari, dil ke armaan ansuon me bah gaye.txt
Hum honge kaamyaab,Jaane Bhi Do Yaar,,Hum honge kaamyaab.html
Hey  Ram Hey  Ram,bhajan,Durga,Hey  Ram Hey  Ram.txt
mile sur mera tumhara,geet,bhairavi,mile sur mera tumhara.txt
aisi lagi lagan,bhajan,Misra Pilu,aisi lagi lagan.html
arti kunj bihari ki,bhajan,,arti kunj bihari ki.txt
yashomati maiya se bole,,,yashomati maiya se bole.txt
Dil Lootne Wale Jadugar,madari,,Dil Lootne Wale Jadugar.txt
Dil Ke Jharoke Mein Tujhko,,,Dil Ke Jharoke Mein Tujhko.txt
Neele Neele Ambar Par,,,Neele Neele Ambar Par.txt
om jai jagdeesh hare,bhajan,,om jai jagdeesh hare.txt
Kabhi raam banke Kabhi shaam banke,bhajan,,Kabhi raam banke Kabhi shaam banke.txt
happy birthday to you,,,happy birthday to you.txt
Aye Malik tere bande hum,bhajan,,Aye Malik tere bande hum.html
payoji maine ram ratan dhan,bhajan,,payoji maine ram ratan dhan.txt
tu pyar ka sagar hai,bhajan,,tu pyar ka sagar hai.txt
